threshold,videos,positive_videos,negative_videos,predicted_alerts,true_positive_alerts,false_positive_alerts,missed_events,alert_precision,alert_recall,false_alarm_rate,missed_event_rate,mean_predicted_lead_time,median_predicted_lead_time,mean_alert_time_error,median_alert_time_error
0.1,224,112,112,209,105,99,7,0.5147058823529411,0.9375,0.8839285714285714,0.0625,14.53786666666667,16.43,-12.863504761904762,-14.7
0.11,224,112,112,209,104,99,8,0.5123152709359606,0.9285714285714286,0.8839285714285714,0.07142857142857142,14.392394230769233,16.367,-12.709951923076924,-14.652000000000001
0.12,224,112,112,206,103,96,9,0.5175879396984925,0.9196428571428571,0.8571428571428571,0.08035714285714286,14.329213592233009,16.367,-12.643708737864081,-14.637
0.13,224,112,112,204,103,95,9,0.5202020202020202,0.9196428571428571,0.8482142857142857,0.08035714285714286,14.300087378640775,16.367,-12.614582524271848,-14.637
0.14,224,112,112,201,101,94,11,0.517948717948718,0.9017857142857143,0.8392857142857143,0.09821428571428571,14.284247524752473,16.367,-12.588792079207922,-14.633
0.15,224,112,112,199,100,93,12,0.5181347150259067,0.8928571428571429,0.8303571428571429,0.10714285714285714,14.03342,16.3155,-12.331690000000002,-14.425
0.16,224,112,112,198,95,93,17,0.5053191489361702,0.8482142857142857,0.8303571428571429,0.15178571428571427,14.455568421052629,16.405,-12.727642105263163,-14.633
0.17,224,112,112,195,95,90,17,0.5135135135135135,0.8482142857142857,0.8035714285714286,0.15178571428571427,14.381884210526314,16.367,-12.653957894736847,-14.611
0.18,224,112,112,195,94,90,18,0.5108695652173914,0.8392857142857143,0.8035714285714286,0.16071428571428573,14.365734042553191,16.386000000000003,-12.629351063829791,-14.533
0.19,224,112,112,194,93,89,19,0.510989010989011,0.8303571428571429,0.7946428571428571,0.16964285714285715,14.4580752688172,16.405,-12.742838709677422,-14.633
0.2,224,112,112,191,93,86,19,0.5195530726256983,0.8303571428571429,0.7678571428571429,0.16964285714285715,14.393559139784943,16.367,-12.678322580645164,-14.433
0.21,224,112,112,190,93,85,19,0.5224719101123596,0.8303571428571429,0.7589285714285714,0.16964285714285715,14.232268817204297,16.367,-12.51703225806452,-14.399999999999999
0.22,224,112,112,187,93,83,19,0.5284090909090909,0.8303571428571429,0.7410714285714286,0.16964285714285715,14.189258064516125,16.364,-12.474021505376347,-14.399999999999999
0.23,224,112,112,185,93,81,19,0.5344827586206896,0.8303571428571429,0.7232142857142857,0.16964285714285715,14.13549462365591,16.364,-12.420258064516132,-14.399999999999999
0.24,224,112,112,183,93,80,19,0.5375722543352601,0.8303571428571429,0.7142857142857143,0.16964285714285715,14.070978494623652,16.25,-12.355741935483874,-14.352
0.25,224,112,112,180,93,77,19,0.5470588235294118,0.8303571428571429,0.6875,0.16964285714285715,14.049473118279566,16.25,-12.334236559139788,-14.352
0.26,224,112,112,177,92,75,20,0.5508982035928144,0.8214285714285714,0.6696428571428571,0.17857142857142858,13.928630434782606,16.2485,-12.221565217391307,-14.3165
0.27,224,112,112,175,91,74,21,0.5515151515151515,0.8125,0.6607142857142857,0.1875,13.947263736263736,16.25,-12.242681318681319,-14.352
0.28,224,112,112,173,91,72,21,0.558282208588957,0.8125,0.6428571428571429,0.1875,13.782428571428571,16.25,-12.077846153846155,-14.280999999999999
0.29,224,112,112,169,90,69,22,0.5660377358490566,0.8035714285714286,0.6160714285714286,0.19642857142857142,13.5337,16.2485,-11.818366666666666,-14.257
0.3,224,112,112,167,89,67,23,0.5705128205128205,0.7946428571428571,0.5982142857142857,0.20535714285714285,13.441224719101124,16.233,-11.73105617977528,-14.233
0.31,224,112,112,166,89,66,23,0.5741935483870968,0.7946428571428571,0.5892857142857143,0.20535714285714285,13.283921348314607,16.133,-11.573752808988765,-13.975000000000001
0.32,224,112,112,163,88,65,24,0.5751633986928104,0.7857142857142857,0.5803571428571429,0.21428571428571427,13.20559090909091,16.087,-11.51275,-13.9505
0.33,224,112,112,160,86,64,26,0.5733333333333334,0.7678571428571429,0.5714285714285714,0.23214285714285715,12.884406976744183,15.8335,-11.220418604651165,-13.759
0.34,224,112,112,156,84,61,28,0.5793103448275863,0.75,0.5446428571428571,0.25,13.008535714285713,16.0535,-11.378333333333334,-13.859
